ds,yhat,yhat_lower,yhat_upper
2025-07-17 13:50:00,23.647660990829806,-12.088521088768083,57.54416061346517
2025-07-17 14:50:00,22.604152695311644,-12.599448777001065,57.31489370727952
2025-07-17 15:50:00,20.489140121519107,-15.955680222760401,55.519191299339106
2025-07-17 16:50:00,18.732109901391034,-13.863961520112452,51.419782454989765
2025-07-17 17:50:00,18.334735634018628,-14.518638796118266,51.77581252278607
2025-07-17 18:50:00,18.89383273693449,-12.586282874891761,52.430667568683866
2025-07-17 19:50:00,19.019500562956264,-14.821034451059347,55.00255683245681
2025-07-17 20:50:00,17.730554423937974,-17.376364854672023,49.594486474544496
2025-07-17 21:50:00,15.437980520920261,-18.546832379265012,47.852255768702335
2025-07-17 22:50:00,13.540031871447745,-22.659271170892268,45.232829901690664
2025-07-17 23:50:00,13.037122571621515,-19.97140536619258,46.35877877108646
2025-07-18 00:50:00,13.549499440607981,-23.106945393837073,49.27031151332159
2025-07-18 01:50:00,13.714861188446084,-21.717477414966485,48.4686048308163
2025-07-18 02:50:00,12.564589382409554,-22.799305382295483,45.688620214028504
2025-07-18 03:50:00,10.503535654479185,-24.251578173804806,43.442982296958576
2025-07-18 04:50:00,8.919555259705092,-27.07400021353392,44.32430172720766
2025-07-18 05:50:00,8.820132537121268,-27.94658738736611,43.421845310610664
2025-07-18 06:50:00,9.861776439616515,-23.2316172844363,45.473776399320094
2025-07-18 07:50:00,10.736916026552755,-26.70080635223812,44.81240451220723
2025-07-18 08:50:00,10.518212228460893,-24.262015392405914,43.47115960485182
2025-07-18 09:50:00,9.600897926192827,-24.333631872809327,44.61855437513312
2025-07-18 10:50:00,9.29121357591443,-26.25403945746,43.944421572746386
2025-07-18 11:50:00,10.453771374460839,-24.956784004002966,43.7543869419424
2025-07-18 12:50:00,12.582940982621205,-22.451692055971307,48.211101713066725
2025-07-18 13:50:00,14.245383039575415,-18.989162026539876,46.55974949030065
2025-07-18 14:50:00,14.46769932137078,-24.26088785567481,50.51190001643878
2025-07-18 15:50:00,13.689157287816885,-19.56492076440136,48.25232238963474
2025-07-18 16:50:00,13.32321035241159,-22.264985100936062,46.86843318076163
2025-07-18 17:50:00,14.354828821912488,-20.713299185620116,49.54418458270643
2025-07-18 18:50:00,16.36364620747313,-19.19178342001423,51.435061866343055
2025-07-18 19:50:00,17.942299220085033,-15.291680203776941,52.871057294994884
2025-07-18 20:50:00,18.09206172665735,-19.097252719985615,54.72083813482491
2025-07-18 21:50:00,17.206503244036956,-19.230068831440487,52.63010553196528
2025-07-18 22:50:00,16.666787612354884,-19.78556490442997,51.35333282446854
2025-07-18 23:50:00,17.45676674805152,-16.458250277064415,51.402410950463754
2025-07-19 00:50:00,19.1808461167372,-18.14464932476722,55.89638412262453
2025-07-19 01:50:00,20.46178972469455,-14.442218070094544,58.460698224339176
2025-07-19 02:50:00,20.317126661370544,-13.073367404409426,55.473946876514994
2025-07-19 03:50:00,19.13910150704451,-13.994353977627858,54.180983816874615
2025-07-19 04:50:00,18.304356741465888,-15.788461805540456,53.9764526834765
2025-07-19 05:50:00,18.810690897958175,-18.07437100512825,55.381725034365196
2025-07-19 06:50:00,20.306569022867393,-15.244068396591347,54.47912024506131
2025-07-19 07:50:00,21.478113935785192,-13.181243679762122,58.37209972130256
2025-07-19 08:50:00,21.39349343865143,-14.541426214918472,58.72595525039494
2025-07-19 09:50:00,20.4453145985614,-17.663143369748934,55.45524176388409
2025-07-19 10:50:00,19.939091675395375,-13.507338943790538,54.49608181114204
2025-07-19 11:50:00,20.740620295758845,-13.913386132199744,57.09531152389885
2025-07-19 12:50:00,22.347350765891044,-13.24604184507077,54.67143607817729
2025-07-19 13:50:00,23.330886909989303,-11.531965326646567,57.61832158914586
2025-07-19 14:50:00,22.72457970176768,-13.446651780507034,56.54869517207139
2025-07-19 15:50:00,20.976174115147543,-13.019649054833387,55.054226893933645
2025-07-19 16:50:00,19.509231477368953,-15.631516928481117,51.40732798963258
2025-07-19 17:50:00,19.32034345237035,-17.700577219243577,55.922103910874945
2025-07-19 18:50:00,20.002143771149193,-15.939849185971589,56.64770136844132
2025-07-19 19:50:00,20.161497654946686,-11.751215007060747,51.80938738448926
2025-07-19 20:50:00,18.814971025268616,-17.055765976388102,52.732788959371554
2025-07-19 21:50:00,16.372312071654108,-13.42987888255737,50.76612779992705
2025-07-19 22:50:00,14.231562957115509,-20.12517242604482,49.35289144551147
2025-07-19 23:50:00,13.393958815349697,-21.35255033588294,45.88486644561273
2025-07-20 00:50:00,13.481593030108248,-20.691735011089904,49.34680225464661
2025-07-20 01:50:00,13.135019006053124,-20.453725059104844,46.36833390651579
2025-07-20 02:50:00,11.389452904501429,-22.829093931715427,45.76814365716276
2025-07-20 03:50:00,8.654522105056536,-25.234716919786145,44.24988609637826
2025-07-20 04:50:00,6.3237499481786035,-33.01382673260652,41.59023467450495
2025-07-20 05:50:00,5.411122862246147,-30.053409909729854,39.35364013815575
2025-07-20 06:50:00,5.580418709753086,-29.34788224117643,38.09258672650837
2025-07-20 07:50:00,5.532027011586887,-28.48198500441065,40.15115079755017
2025-07-20 08:50:00,4.3471782137921355,-27.578329476997208,38.86928954137294
2025-07-20 09:50:00,2.430194978616358,-31.79547502509185,38.926305899400106
2025-07-20 10:50:00,1.0968337394172778,-33.494597133274354,38.3490601614065
2025-07-20 11:50:00,1.2215505782994764,-32.73349619932049,36.34113459755607
2025-07-20 12:50:00,2.308785550789546,-31.090479448791854,38.904005927723105
2025-07-20 13:50:00,2.9353928428718206,-30.77759881773429,38.19050437717892
